ID: L3545 | OPERACAO: Locacao | TITULO: Prédio Comercial para alugar com 618m² no Jardim Faculdade - Sorocaba | BAIRRO: Jardim Emília | CIDADE: Sorocaba | AREA: 580m2 | QUARTOS: 0 | BANHEIROS: 8 | VAGAS: 9 | ALUGUEL: R$ 28000 | DESCRICAO: Este prédio comercial está situado em uma localização excelente e oferece uma infraestrutura completa para atender a diversas necessidades empresariais. Com estacionamento para aproximadamente 9 veículos e 2 vagas na lateral, e sete vagas frontais voltadas para a Washington Luiz, o edifício garante fácil acesso e comodidade para clientes e funcionários. Distribuído em três pavimentos, o prédio possui: Térreo: Um amplo salão com dois banheiros, ideal para acomodar um grande fluxo de pessoas. 1º Pavimento: Outro salão espaçoso, uma cozinha, quatro banheiros e uma entrada lateral que leva a uma cozinha maior, além de vestiários femininos e masculinos. 2º Pavimento: Um mezanino com um banheiro, oferecendo uma área adicional que pode ser adaptada às necessidades do negócio. Este espaço versátil e bem localizado é uma excelente oportunidade para empresas que buscam um imóvel pronto para operações comerciais, com todas as comodidades necessárias para funcionar com eficiência e conforto. Gostaria de saber mais informações ou agendar uma visita?. ref. 3545 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=3545
ID: L2788 | OPERACAO: Locacao | TITULO: Apartamento a venda e aluguel com 3 quartos, 105,00 m2 - Imperia Residência | BAIRRO: Vila Independência | CIDADE: Sorocaba | AREA: 105m2 | QUARTOS: 3 | BANHEIROS: 3 | VAGAS: 2 | ALUGUEL: R$ 4800 | DESCRICAO: Este incrível apartamento oferece uma sala com dois ambientes, equipada com painel e rack para TV, além de um lavabo. A sala e a cozinha são integradas à área gourmet, que conta com uma churrasqueira, ideal para momentos de confraternização. A cozinha é toda modulada, com bancada em granito, e a área de serviço possui armários, garantindo praticidade e organização. O imóvel dispõe de três quartos, sendo um deles uma suíte, todos com móveis planejados. O apartamento é revestido com piso porcelanato, proporcionando elegância e facilidade de limpeza. O condomínio oferece um clube completo com diversas opções de lazer para toda a família. Conta com um salão de festas e churrasqueira, além de uma academia totalmente equipada e mobiliada, promovendo qualidade de vida e bem-estar. Para as crianças, há um playground com uma variedade de brinquedos. Localizado em um bairro com infraestrutura completa, o empreendimento está próximo a comércios, farmácias, supermercados e restaurantes, garantindo conveniência e conforto no dia a dia.. ref. 2788 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=2788
ID: L6798 | OPERACAO: Locacao | TITULO: Apartamento Evolution Muraro para Locação com 2 dormitórios, sendo 1 suíte e 2 vagas cobertas, todo modulado fino acabamento. | BAIRRO: Jardim América | CIDADE: Sorocaba | AREA: 69m2 | QUARTOS: 2 | BANHEIROS: 2 | VAGAS: 2 | ALUGUEL: R$ 3700 | DESCRICAO: Apartamento todo modulado, ar condicionado na suíte, sala com painel em MDF para TV, sacada com pia e churrasqueira e modulados, piso porcelanato e laminado de madeira nos quartos, aquecedor a gás natural. duas vagas de garagem cobertas. Condomínio com piscina, academia, salão de festas, churrasqueira, playground, quadra de tênis e de futebol. segurança eletrônica, elevador social e de serviço. Região nobre e fácil acesso ao Campolim.. ref. 6798 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=6798
ID: V7028 | OPERACAO: Venda | TITULO: Casa à Venda no Residencial Lago da Boa Vista | BAIRRO: Aparecidinha | CIDADE: Sorocaba | AREA: 275m2 | QUARTOS: 3 | BANHEIROS: 4 | VAGAS: 4 | ALUGUEL: R$ Sob consulta | DESCRICAO: Casa à Venda no Residencial Lago da Boa Vista Destaques do imóvel: Sala ampla com 2 ambientes (Sala de Estar e Sala de Jantar) e pé direito duplo Lavabo moderno Cozinha espaçosa com ilha em granito, armários planejados e iluminação em LED Área de Serviço com armários Banheiro de Serviço 3 suítes amplas, todas com armários embutidos, ar-condicionado e banheiros com Box Blindex Ambientes revestidos em porcelanato de primeira linha Varanda integrada para momentos de descanso Lazer e conforto: Espaço gourmet com churrasqueira Piscina com WC de apoio Iluminação planejada em todos os ambientes 4 vagas de garagem, sendo 2 cobertas Localização privilegiada: Condomínio fechado com segurança e lazer Situado no bairro Aparecidinha, no condomínio Lago da Boa Vista Fácil acesso às principais rodovias da região: Castello Branco, Raposo Tavares e João Leme dos Santos Próximo a escolas, supermercados, shopping centers e toda a infraestrutura necessária para o dia a dia Agende sua visita e descubra o imóvel que une sofisticação, conforto e excelente localização!. ref. 7028 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7028
ID: V2886 | OPERACAO: Venda | TITULO: Casa a venda com 3 quartos, 268m2 no Condomínio Granja Olga 2 - Sorocaba | BAIRRO: Jardim Residencial Chácara Ondina | CIDADE: Sorocaba | AREA: 268m2 | QUARTOS: 3 | BANHEIROS: 5 | VAGAS: 4 | ALUGUEL: R$ Sob consulta | DESCRICAO: Casa a venda no Condomínio Granja Olga 2, localizada no bairro Além Ponte. Sorocaba. Casa estilo Sobrado mobiliado e modulado, terreno com 250m² e área construída de 268m², sala 2 ambientes em piso porcelanato, teto com acabamento em gessos e luminárias, sala de tv com modulado, cozinha ampla integrada com a área gourmet. Piscina, churrasqueira com coifa pia de apoio , quintal, lavabo. Andar superior com 3 quartos sendo 3 suítes 1 sendo máster com hidro e closet. banheiro externo e depósito. Garagem para 4 veículos sendo 2 coberttas Condomínio com área de lazer completa sendo playground, pista de caminhada, cooper, quadra de tênis, campo de futebol, quadra de vôlei, quadra poliesportiva, quadra de areia, pista de skate, pista de bocha e espaço gourmet. De fácil acesso a Av. São Paulo, próximo a supermercados como Pão de Açúcar, Mini Shopping Olga, Farmácia Drogasil e hipermercado Confiança. Estamos à disposição para te atender. Gostaria de saber mais informações ou agendar uma visita?. ref. 2886 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=2886
ID: V7052 | OPERACAO: Venda | TITULO: Sobrado a venda no Condomínio Mont Blanc | BAIRRO: Vossoroca | CIDADE: Sorocaba | AREA: 334m2 | QUARTOS: 4 | BANHEIROS: 6 | VAGAS: 4 | ALUGUEL: R$ Sob consulta | DESCRICAO: Sala 3 ambientes com pé direito alto, sala de tv com ar condicionado, piso em porcelanato, lavabo com pia em mármore travertino, cozinha integrada a sala e espaço gourmet, cozinha modulada com ampla bancada em granito e coifa, espaço gourmet com churrasqueira, forno e ampla bancada em granito , fechamento em vidro com ampla abertura para o espaço da Piscina. Quintal com paisagismo. Andar superior com sala íntima entre os dormitórios, 4 suítes moduladas com ar condicionado e varanda, uma das suítes sendo máster com closet. piso em laminado. Banheiros com gabinetes, box em vidro e pia em mármore travertino, pisos e revestimentos em porcelanato. Garagem para 4 veículos, sendo 2 cobertas. Condomínio com portaria 24h, ronda, mercadinho, quadra de tênis, campo de futebol, quadra poliesportiva, praças , playground e salão de estas.. ref. 7052 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7052
ID: V2278 | OPERACAO: Venda | TITULO: Apartamento Triplex a venda 3 quartos Jardim Faculdade - Sorocaba | BAIRRO: Jardim Faculdade | CIDADE: Sorocaba | AREA: 433m2 | QUARTOS: 3 | BANHEIROS: 5 | VAGAS: 3 | ALUGUEL: R$ Sob consulta | DESCRICAO: Excelente triplex com uma vista 360o da cidade, duas entradas (serviço e social), a cobertura tem 3 vagas cobertas com vagas em paralelo e um deposito para cada. Ampla sala de estar/jantar, lareira, varanda ao redor das salas, lavado grande, cozinha bem espaçosa com bancada em mármore, duas pias, dispensa, lavanderia e dependência de empregada completa. Subindo 1 lance de escada você se depara com a área da piscina com espaço para instalação de uma área gourmet. Acessando mais um lance de escada você se depara com uma sala íntima com lareira, de um lado uma suite master com closet, banheiro com hidro e chuveiro separados e uma área que pode ser usada como sala íntima do casal ou escritório e uma pequena varanda. Apartamento muito bem iluminado naturalmente e com excelente circulação de ar. Estamos à disposição para te atender. Gostaria de saber mais informações ou agendar uma visita?. ref. 2278 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=2278
ID: V3357 | OPERACAO: Venda | TITULO: Apartamento para alugar com 4 quartos, 228m2 no Parque Campolim - Sorocaba | BAIRRO: Parque Campolim | CIDADE: Sorocaba | AREA: 236m2 | QUARTOS: 4 | BANHEIROS: 5 | VAGAS: 4 | ALUGUEL: R$ Sob consulta | DESCRICAO: Este apartamento é amplo e confortável e está localizado na região mais valorizada de Sorocaba, próximo ao Shopping Iguatemi e com fácil acesso às principais vias da cidade. Este imóvel foi feito para quem busca espaço, conforto e praticidade em um só lugar! São 4 dormitórios, sendo 2 suítes, incluindo uma suíte master com closet. Todos os quartos contam com armários embutidos, garantindo organização e funcionalidade no dia a dia. A sala ampla para dois ambientes tem piso em carpete porcelanato, proporcionando um ambiente aconchegante e elegante. O hall de entrada individualizado com piso em mármore e o lavabo completam a área social com sofisticação e privacidade. Destaque para a varanda espaçosa com churrasqueira e pia, perfeita para reunir amigos e família nos momentos de lazer. A cozinha planejada, com armários e gabinetes, é prática e funcional, e se conecta à ampla área de serviço, que ainda conta com quarto e banheiro de empregada. O apartamento dispõe de 4 vagas de garagem privativas e autônomas, além de 1 depósito exclusivo na garagem ? ideal para quem precisa de espaço extra. O condomínio é um verdadeiro clube particular, com infraestrutura completa de lazer para todas as idades. Você e sua família poderão aproveitar: áreas gourmet com churrasqueiras privativas, quadras de tênis e beach tennis, salões de festas amplos, academia fitness equipada, quadra poliesportiva, piscinas climatizadas adulto e infantil, e até um restaurante dentro do condomínio, trazendo ainda mais comodidade ao dia a dia. Tudo isso com segurança 24 horas e portaria monitorada, para que você viva com tranquilidade e total proteção. Não perca a chance de morar em um imóvel que reúne tudo o que você precisa para viver bem! Gostaria de saber mais informações ou agendar uma visita?. ref. 3357 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=3357
ID: L6984 | OPERACAO: Locacao | TITULO: Apartamento Duplex para alugar no Campolim com 94m² | BAIRRO: Jardim Portal da Colina | CIDADE: Sorocaba | AREA: 94m2 | QUARTOS: 1 | BANHEIROS: 2 | VAGAS: 2 | ALUGUEL: R$ 6000 | DESCRICAO: Apartamento duplex com 94m², 100% mobiliado e com aparelho de ar condicionado instalado, 01 suíte, cozinha integrada com a sala de TV, 01 Jacuzzi e 02 vagas de garagem. O condomínio oferece academia, salão de festa, espaço gourmet, churrasqueira e piscina. ref. 6984 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=6984
ID: L7007 | OPERACAO: Locacao | TITULO: Apartamento a venda e aluguel com 3 quartos | BAIRRO: Jardim América | CIDADE: Sorocaba | AREA: 101m2 | QUARTOS: 3 | BANHEIROS: 3 | VAGAS: 2 | ALUGUEL: R$ 3000 | DESCRICAO: Apartamento modulado e mobiliado com sala 2 ambientes com varanda, cozinha ampla com armários, lavanderia com wc de serviço, 3 quartos modulados 1 sendo suíte. wc social, banheiros com box em vidro e gabinetes. Sala em piso granito, e quartos em piso madeira. 2 vagas de garagem cobertas e depósito. Condomínio com salão de festas, academia e churrasqueira. Bairro com estrutura completa de comércios, restaurantes, shopping, farmácias, Fácil acesso as principais Avenidas da Cidade.. ref. 7007 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7007
ID: L6865 | OPERACAO: Locacao | TITULO: Apartamento Mobiliado de 65m² para locação ou venda - Jardim Pagliato | BAIRRO: Jardim Pagliato | CIDADE: Sorocaba | AREA: 65m2 | QUARTOS: 2 | BANHEIROS: 1 | VAGAS: 1 | ALUGUEL: R$ 2700 | DESCRICAO: Apartamento mobiliado à venda no Jardim Pagliato - Sorocaba/SP Excelente oportunidade para quem busca conforto, praticidade e ótima localização em uma das regiões mais valorizadas de Sorocaba. Localizado no Jardim Pagliato, bairro residencial nobre, tranquilo e bem estruturado, este apartamento é ideal tanto para moradia quanto para investimento, oferecendo qualidade de vida e valorização constante. O imóvel conta com elevador e será entregue mobiliado, proporcionando mais comodidade. Possui 2 dormitórios bem distribuídos, com ambientes aconchegantes, bem iluminados e ventilados, garantindo conforto no dia a dia. Dispõe ainda de 1 vaga de garagem coberta, trazendo mais segurança e praticidade, além de um depósito privativo no térreo, perfeito para armazenamento extra e melhor organização. Destaques do imóvel: Apartamento mobiliado - Elevador - 2 dormitórios - 1 vaga de garagem coberta - Depósito exclusivo no térreo - Ambientes bem distribuídos e iluminados O condomínio é organizado, bem conservado e conta com ambiente familiar, oferecendo tranquilidade e segurança aos moradores. Dispõe ainda de área de lazer com piscina e churrasqueira, ideais para momentos de descanso, convivência e lazer com família e amigos. A localização é um dos grandes diferenciais, estando próxima a supermercados, farmácias, padarias, escolas, academias, restaurantes, clínicas e diversos serviços essenciais, facilitando a rotina diária. Além disso, o imóvel possui fácil acesso às principais avenidas da cidade e ligação rápida às rodovias Raposo Tavares e Castelinho, permitindo deslocamento ágil para outras regiões de Sorocaba e cidades vizinhas, sem abrir mão do sossego de um bairro residencial. Imóvel com excelente potencial de valorização, ideal para quem deseja morar bem ou investir com segurança. Que tal agendar uma visita e conhecer pessoalmente tudo o que este apartamento pode oferecer?. ref. 6865 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=6865
